model,label_id,class_name,B1_simple,M1_ensemble_all,delta_ens_minus_simple
ViT-B/16,0,centered face,0.006896551724137931,0.2597701149425287,0.2528735632183908
ViT-B/16,1,off-center face,0.9977011494252873,0.6827586206896552,-0.3149425287356321
ViT-B/16,2,leopard,0.97,0.99,0.020000000000000018
ViT-B/16,3,motorbike,1.0,1.0,0.0
ViT-B/16,4,accordion,0.9636363636363636,0.9636363636363636,0.0
ViT-B/16,5,airplane,0.965,0.98,0.015000000000000013
ViT-B/16,6,anchor,0.6904761904761905,0.6428571428571429,-0.04761904761904756
ViT-B/16,7,ant,0.7142857142857143,0.8571428571428571,0.1428571428571428
ViT-B/16,8,barrel,0.9574468085106383,0.9787234042553191,0.02127659574468077
ViT-B/16,9,bass,0.8888888888888888,0.9259259259259259,0.03703703703703709
ViT-B/16,10,beaver,0.782608695652174,0.8913043478260869,0.10869565217391297
ViT-B/16,11,binocular,0.8787878787878788,0.9090909090909091,0.030303030303030276
ViT-B/16,12,bonsai,0.9921875,1.0,0.0078125
ViT-B/16,13,brain,0.9897959183673469,1.0,0.010204081632653073
ViT-B/16,14,brontosaurus,0.9534883720930233,0.9534883720930233,0.0
ViT-B/16,15,buddha,1.0,1.0,0.0
ViT-B/16,16,butterfly,0.9120879120879121,0.9230769230769231,0.010989010989011061
ViT-B/16,17,camera,1.0,1.0,0.0
ViT-B/16,18,cannon,0.8604651162790697,0.8604651162790697,0.0
ViT-B/16,19,side of a car,0.9349593495934959,0.983739837398374,0.04878048780487809
ViT-B/16,20,ceiling fan,0.9574468085106383,0.9574468085106383,0.0
ViT-B/16,21,cellphone,0.9661016949152542,0.9661016949152542,0.0
ViT-B/16,22,chair,0.3870967741935484,0.3225806451612903,-0.06451612903225806
ViT-B/16,23,chandelier,0.9252336448598131,0.9626168224299065,0.03738317757009346
ViT-B/16,24,body of a cougar cat,0.9574468085106383,0.851063829787234,-0.1063829787234043
ViT-B/16,25,face of a cougar cat,0.9565217391304348,0.9710144927536232,0.01449275362318836
ViT-B/16,26,crab,0.8493150684931506,0.8767123287671232,0.0273972602739726
ViT-B/16,27,crayfish,0.8428571428571429,0.8857142857142857,0.042857142857142816
ViT-B/16,28,crocodile,0.82,0.72,-0.09999999999999998
ViT-B/16,29,head of a  crocodile,0.5686274509803921,0.7843137254901961,0.21568627450980393
ViT-B/16,30,cup,0.9473684210526315,0.9473684210526315,0.0
ViT-B/16,31,dalmatian,0.9402985074626866,1.0,0.05970149253731338
ViT-B/16,32,dollar bill,1.0,1.0,0.0
ViT-B/16,33,dolphin,0.9846153846153847,1.0,0.01538461538461533
ViT-B/16,34,dragonfly,0.5882352941176471,0.6911764705882353,0.1029411764705882
ViT-B/16,35,electric guitar,0.8266666666666667,0.8933333333333333,0.06666666666666665
ViT-B/16,36,elephant,0.984375,0.984375,0.0
ViT-B/16,37,emu,0.9811320754716981,0.9811320754716981,0.0
ViT-B/16,38,euphonium,0.9375,0.9375,0.0
ViT-B/16,39,ewer,0.9882352941176471,0.9647058823529412,-0.02352941176470591
ViT-B/16,40,ferry,0.9253731343283582,0.9701492537313433,0.04477611940298509
ViT-B/16,41,flamingo,0.9850746268656716,0.9701492537313433,-0.01492537313432829
ViT-B/16,42,head of a flamingo,0.24444444444444444,0.4444444444444444,0.19999999999999998
ViT-B/16,43,garfield,1.0,1.0,0.0
ViT-B/16,44,gerenuk,0.9411764705882353,0.9411764705882353,0.0
ViT-B/16,45,gramophone,0.9803921568627451,1.0,0.019607843137254943
ViT-B/16,46,grand piano,1.0,1.0,0.0
ViT-B/16,47,hawksbill,0.99,1.0,0.010000000000000009
ViT-B/16,48,headphone,1.0,1.0,0.0
ViT-B/16,49,hedgehog,0.9814814814814815,0.9814814814814815,0.0
ViT-B/16,50,helicopter,1.0,1.0,0.0
ViT-B/16,51,ibis,0.9875,0.975,-0.012500000000000067
ViT-B/16,52,inline skate,1.0,1.0,0.0
